,Movie Name,Movie Released Year,Movie overview,Movie Cast
17,Barbie,2023,To live in Barbie Land is to be a perfect being in a perfect place. Unless you have a full-on existential crisis. Or you're a Ken.,"['Margot Robbie', 'Hari Nef', 'Ryan Gosling', 'Ariana Greenblatt', 'John Cena', 'Helen Mirren', 'Will Ferrell', 'Emma Mackey', 'Michael Cera', 'Simu Liu', 'Nicola Coughlan', 'Rhea Perlman', 'Caroline Wilde', 'Kate McKinnon', 'America Ferrera', 'Issa Rae', 'Dua Lipa', 'Kingsley Ben-Adir']"
18,Beau Is Afraid,2023,"Following the sudden death of his mother, a mild-mannered but anxiety-ridden man confronts his darkest fears as he embarks on an epic, Kafkaesque odyssey back home.","['Joaquin Phoenix', 'Patti LuPone', 'Amy Ryan', 'Nathan Lane', 'Kylie Rogers', 'Denis Ménochet', 'Parker Posey', 'Zoe Lister-Jones', 'Armen Nahapetian', 'Julia Antonelli', 'Stephen McKinley Henderson', 'Richard Kind', 'Hayley Squires', 'Julian Richings', 'Bill Hader', 'Alicia Rosario', 'James Cvetkovski', 'Catherine Bérubé']"
19,The Covenant,2023,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.","['Jake Gyllenhaal', 'Dar Salim', 'Sean Sagar', 'Jason Wong', 'Rhys Yates', 'Christian Ochoa Lavernia', 'Bobby Schofield', 'Emily Beecham', 'Jonny Lee Miller', 'Alexander Ludwig', 'Reza Diako', 'James Nelson-Joyce', 'Gary Anthony Stennette', 'Saboor Sahak', 'Antony Starr', 'Abbas Fasaei', 'Hadi Khanjanpour', 'Ash Goldeh']"
20,Dungeons & Dragons: Honor Among Thieves,2023,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.","['Chris Pine', 'Michelle Rodriguez', 'Regé-Jean Page', 'Justice Smith', 'Sophia Lillis', 'Hugh Grant', 'Chloe Coleman', 'Daisy Head', 'Kyle Hixon', 'Spencer Wilding', 'Will Irvine', 'Nicholas Blane', 'Bryan Larkin', 'Sarah Amankwah', 'Colin Carnegie', 'Georgia Landers', 'Sophia Nell Huntley', 'Clayton Grover']"
21,My Fault,2023,"Noah has to leave her town, boyfriend and friends behind and move into the mansion of her mother's new rich husband. There she meets Nick, her new stepbrother. They fall madly in love in secret.","['Nicole Wallace', 'Gabriel Guevara', 'Marta Hazas', 'Iván Sánchez', 'Eva Ruiz', 'Víctor Varona', 'Fran Berenguer', 'Adriana Ubani', 'Ivan Massagué', 'Mariano Venancio', 'Jaime Ordóñez', 'Jaime Gutiérrez', 'Anastasia Russo', 'Noah Casas', 'Daniel Martínez', 'Pablo Riguero', 'Eve Ryan', 'Lucas Nabor']"
22,Expendables 4,2023,The Expendables will square up against: an arms dealer who commands the might of a massive private army.,"['Jason Statham', '50 Cent', 'Megan Fox', 'Dolph Lundgren', 'Tony Jaa', 'Iko Uwais', 'Randy Couture', 'Jacob Scipio', 'Levy Tran', 'Andy Garcia', 'Sylvester Stallone', 'Nicole Andrews', 'Sheila Shah', 'Eddie Hall', 'Lucy Newman-Williams', 'Cokey Falkow', 'Tjasa Perko', 'Mike Möller']"
23,Killers of the Flower Moon,2023,"Members of the Osage tribe in the United States are murdered under mysterious circumstances in the 1920s, sparking a major F.B.I. investigation involving J. Edgar Hoover.","['Leonardo DiCaprio', 'Robert De Niro', 'Lily Gladstone', 'Jesse Plemons', 'Tantoo Cardinal', 'John Lithgow', 'Brendan Fraser', 'Cara Jade Myers', 'Janae Collins', 'Jillian Dion', 'William Belleau', 'Jason Isbell', 'Scott Shepherd', 'Louis Cancelmi', 'Sturgill Simpson', 'Tatanka Means', 'Pat Healy', 'Michael Abbott Jr.']"
24,Oppenheimer,2023,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,"['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Josh Hartnett', 'Olivia Thirlby', 'Florence Pugh', 'Jack Quaid', 'Gary Oldman', 'David Dastmalchian', 'Gustaf Skarsgård', 'Dane DeHaan', 'Kenneth Branagh', 'Rami Malek', 'Devon Bostick', 'Alex Wolff', 'Tony Goldwyn', 'Alden Ehrenreich']"
25,The Boogeyman,2023,"Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before it's too late.","['Sophie Thatcher', 'Chris Messina', 'Vivien Lyra Blair', 'David Dastmalchian', 'Marin Ireland', 'Madison Hu', 'Maddie Nichols', 'Leeann Ross', 'Rio Sarah Machado', 'Shauna Rappold', 'LisaGay Hamilton', 'Cristala Carter', 'Shayla Bagir', 'Han Soto', 'Seylan Baxter', 'Aadyn Encalarde', 'Ellie Bogert', 'Maisie Bogert']"
26,Extraction,2023,"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.","['Chris Hemsworth', 'Bryon Lerum', 'Ryder Lerum', 'Rudhraksh Jaiswal', 'Shivam Vichare', 'Piyush Khati', 'Sara Rumao', 'Randeep Hooda', 'Aarti Kulkarni', 'Umakant Patil', 'Praveen Indu', 'Swapnil Kokam', 'Pankaj Tripathi', 'Neha Mahajan', 'Pallas Prajapati', 'Shazia Naz Gill', 'Rob Collins', 'Wayne Blair']"
27,Adipurush,2023,Adaptation of Indian mythology that depicts the triumph of good over evil.,"['Kriti Sanon', 'Saif Ali Khan', 'Prabhas', 'Devdutta Nage', 'Vatsal Sheth', 'Sunny Singh', 'Tejaswini Pandit', 'Siddhant Karnick', 'Sonal Chauhan', 'Krishna Kotian', 'Trupti Toradmal', 'Kanishk Mahawar', 'Bijay Anand', 'Angad Bedi', 'Shivangi Bhardwaj', 'Awlad Hossen Eshan', 'Rime Hakkou', 'Sonali Khare']"
28,Renfield,2023,"Renfield, Dracula's henchman and inmate at the lunatic asylum for decades, longs for a life away from the Count, his various demands, and all of the bloodshed that comes with them.","['Nicholas Hoult', 'Nicolas Cage', 'Awkwafina', 'Ben Schwartz', 'Shohreh Aghdashloo', 'Brandon Scott Jones', 'Adrian Martinez', 'Camille Chen', 'Bess Rous', 'Jenna Kanell', 'Danya LaBelle', 'Rhonda Johnson Dents', 'Christopher Matthew Cook', 'Michael P. Sullivan', 'Rosha Washington', 'James Moses Black', 'T.C. Matherne', 'Caroline Williams']"
29,Creed III,2023,"Adonis has been thriving in both his career and family life, but when a childhood friend and former boxing prodigy resurfaces, the face-off is more than just a fight.","['Michael B. Jordan', 'Tessa Thompson', 'Jonathan Majors', 'Wood Harris', 'Phylicia Rashad', 'Mila Davis-Kent', 'Jose Benavidez', 'Selenis Leyva', 'Florian Munteanu', 'Thaddeus J. Mixson', 'Spence Moore II', 'Tony Bellew', 'Patrice Harris', 'Ann Najjar', ""Jacob 'Stitch' Duran"", 'Terence Crawford', 'Bobby Hernandez', 'Yahya McClain']"
